TransactionAmount,TransactionCount,Age,AnnualIncome,NumCreditCards,PaymentHistoryDaysLate,SpendScore,Default
3374,25,28,119457,7,0,0.88,1
3707,24,25,69813,6,0,0.74,1
1060,13,43,164892,7,10,0.5,0
1494,7,62,49070,0,90,0.37,1
1330,36,61,167194,3,0,0.8,0
1295,20,22,105559,2,15,0.54,0
3972,1,23,66786,7,0,0.71,1
3292,8,43,162809,0,0,0.7,0
1838,16,21,61062,5,5,0.11,1
2369,14,36,76571,3,0,0.2,1
666,12,37,50510,0,0,0.63,1
1438,23,50,44426,0,60,0.23,1
530,15,37,62265,2,45,0.3,1
1682,28,29,173922,6,0,0.86,0
2335,34,64,91150,7,90,0.55,1
3644,2,18,112312,5,0,0.7,1
3371,32,43,114613,4,30,0.55,1
3119,23,31,99910,7,45,0.54,1
3935,22,55,77375,4,15,0.18,0
330,25,54,146826,0,0,0.37,0
1885,22,28,60435,1,45,0.33,1
3580,22,53,121443,5,0,0.41,0
969,6,30,159055,3,5,0.74,0
2591,15,60,176734,1,45,0.4,0
1715,37,20,48510,1,0,0.46,1
3685,33,50,119071,7,15,0.42,0
3053,8,23,31640,5,0,0.17,1
2633,5,27,69547,6,0,0.45,1
1415,39,22,79620,0,0,0.26,0
1155,4,40,171389,0,15,0.25,0
2524,6,27,140608,0,30,0.18,1
1384,32,61,32564,0,0,0.39,1
659,30,19,138824,7,5,0.71,0
3585,35,30,104273,4,15,0.32,1
221,16,57,99859,0,0,0.35,0
2500,13,19,135017,4,0,0.61,1
947,30,37,148618,4,0,0.26,0
3104,19,18,150341,6,10,0.82,0
3832,17,54,54430,0,15,0.52,1
674,19,26,52788,2,0,0.46,0
1282,28,34,169991,3,5,0.55,0
2758,26,26,94346,1,0,0.23,0
3953,37,28,121122,4,0,0.59,0
2247,26,32,64974,5,15,0.39,1
3747,23,41,132309,5,90,0.82,1
2947,9,55,41371,3,10,0.24,1
1175,12,52,70084,5,15,0.51,1
2006,1,47,86916,2,5,0.58,0
389,1,48,98972,5,10,0.13,0
3205,34,22,37984,1,5,0.39,1
2934,32,61,58039,1,15,0.69,1
3205,25,31,110431,4,0,0.76,0
762,1,28,108691,0,90,0.35,1
2099,16,26,83606,6,5,0.74,1
3838,39,51,166688,2,10,0.87,0
1467,5,29,127665,4,10,0.79,0
3079,22,52,130373,2,5,0.19,0
1728,29,52,49574,0,60,0.69,1
3402,3,18,159502,7,15,0.36,1
3756,12,57,168748,5,60,0.89,0
846,26,39,166888,5,30,0.49,0
