TransactionAmount,TransactionCount,Age,AnnualIncome,NumCreditCards,PaymentHistoryDaysLate,SpendScore,Default
1631,13,31,98229,4,4,0.19,0
981,13,30,35586,2,10,0.43,0
1841,7,24,40341,3,0,0.46,0
3708,9,25,49899,2,4,0.62,0
909,8,30,26701,2,5,0.62,0
909,6,34,36623,3,2,0.25,0
3879,7,39,44993,1,6,0.12,0
2026,16,25,101177,2,2,0.37,0
753,8,43,70090,4,3,0.49,0
1692,18,29,67248,6,0,0.69,0
756,13,31,99761,4,5,0.17,0
755,15,26,55137,1,5,0.09,0
1330,10,18,75680,4,0,0.19,0
237,12,39,56278,4,2,0.08,0
275,7,37,70207,1,19,0.48,0
699,10,29,42207,5,2,0.45,0
487,8,32,13859,2,3,0.54,0
1410,12,36,55239,1,12,0.2,0
530,10,19,140596,4,6,0.59,0
354,10,27,104373,3,4,0.22,1
3542,9,38,106856,3,7,0.47,1
915,15,21,125703,6,9,0.84,0
1157,12,34,63145,4,3,0.2,0
350,19,21,67399,9,3,0.24,0
709,13,35,41332,3,2,0.21,0
1198,8,31,49531,2,17,0.26,0
436,8,19,86635,3,5,0.23,0
1481,8,41,123294,2,0,0.28,0
678,14,26,55068,5,9,0.33,0
868,10,25,45701,4,3,0.51,0
677,11,33,59893,3,0,0.63,0
4826,11,41,85881,5,3,0.51,0
1084,12,23,25177,3,2,0.38,1
470,15,32,15097,1,10,0.07,0
2117,11,35,43031,3,1,0.81,0
412,17,37,28783,7,8,0.42,0
1296,13,33,44139,3,4,0.4,0
228,13,29,54793,2,0,0.67,0
378,8,25,45617,5,17,0.31,0
1283,9,32,143125,2,3,0.39,0
1979,10,23,72841,4,1,0.56,0
1257,7,18,71702,1,3,0.65,0
999,15,35,86970,3,9,0.36,1
861,9,39,30233,8,1,0.43,0
336,14,18,111688,3,1,0.72,1
616,14,23,57213,5,0,0.37,0
758,9,36,89526,6,1,0.34,0
2554,13,48,31473,5,7,0.47,0
1443,8,32,23570,4,3,0.31,0
267,12,26,97805,3,1,0.42,0
1421,18,30,75045,4,0,0.51,0
805,14,42,34848,0,2,0.55,0
638,13,26,35532,8,14,0.21,0
1788,11,25,117625,2,2,0.41,0
2501,11,28,29329,4,22,0.58,0
2310,17,24,160428,0,3,0.49,0
560,13,32,34878,1,0,0.44,0
856,5,44,87819,7,11,0.5,0
1429,15,34,49159,4,3,0.18,0
2393,10,29,85983,5,6,0.31,0
747,12,29,43197,1,20,0.24,0
945,10,19,54302,5,0,0.41,0
452,15,39,61362,1,0,0.68,0
421,9,31,32816,2,6,0.22,0
2100,8,30,93385,1,1,0.4,0
3245,12,57,44005,4,1,0.25,0
1035,18,34,52200,3,0,0.19,1
2447,13,25,32971,1,0,0.45,0
1464,8,28,12869,3,7,0.18,0
654,12,41,53390,2,0,0.45,1
1464,9,32,254630,2,3,0.5,0
3753,9,20,95871,1,4,0.24,0
1065,13,39,59186,3,2,0.39,0
3834,15,26,51137,2,0,0.79,1
134,12,46,60686,3,7,0.06,0
2116,11,40,83139,3,0,0.33,1
1175,8,28,29481,5,7,0.8,0
863,11,42,116843,6,11,0.48,0
1180,13,32,91971,3,2,0.62,0
223,14,38,92125,5,3,0.68,0
919,9,35,77892,2,3,0.63,0
1459,15,25,60583,2,2,0.48,1
3577,14,26,89654,4,10,0.54,0
724,7,40,85398,3,11,0.23,0
574,16,29,48415,2,2,0.34,0
734,14,28,42439,1,4,0.71,0
2280,10,24,63647,5,13,0.72,0
1426,9,35,151662,3,16,0.4,0
717,8,48,28467,4,3,0.41,0
1653,11,23,24821,1,3,0.23,0
1185,16,32,66095,3,1,0.53,0
2380,9,43,61730,4,15,0.07,0
625,13,31,66436,2,0,0.23,1
843,13,35,69311,2,4,0.46,0
801,12,23,52369,2,1,0.4,0
340,15,35,146373,4,1,0.42,0
1389,17,30,22912,5,2,0.35,0
1351,11,39,36421,2,33,0.09,0
1101,9,41,56277,2,0,0.7,0
908,13,52,22338,4,4,0.28,0
353,8,36,53878,0,0,0.41,0
783,7,34,162248,3,0,0.73,0
833,9,33,60629,0,2,0.6,0
577,9,29,68762,2,3,0.75,0
963,17,34,28110,2,1,0.3,0
1515,13,29,41364,1,1,0.3,0
4958,11,33,47804,4,0,0.66,0
1261,12,42,49482,5,1,0.39,1
1347,8,23,129183,1,16,0.23,0
1033,6,41,83668,4,14,0.79,0
236,9,42,30734,0,2,0.26,0
1073,10,31,69418,6,4,0.38,0
1150,14,18,80735,5,12,0.38,1
7868,13,27,118668,1,0,0.51,0
940,15,42,154557,5,8,0.23,0
1395,13,31,32563,1,14,0.06,0
1066,12,24,36808,4,0,0.48,0
430,10,27,28154,2,0,0.45,1
2736,7,38,52030,1,16,0.13,0
2001,14,36,79206,3,3,0.35,0
2064,14,30,108271,3,0,0.13,0
529,9,29,57206,6,1,0.54,0
3368,15,28,49419,0,2,0.15,0
357,9,24,65581,3,5,0.49,0
1753,10,44,36276,5,6,0.55,1
6325,18,29,209760,1,26,0.38,0
496,20,41,22820,3,1,0.76,0
697,8,44,66892,4,3,0.03,1
1187,15,39,201624,2,3,0.61,0
733,9,28,60118,3,2,0.46,0
317,19,35,53421,7,0,0.62,0
1158,8,31,48316,1,18,0.74,0
468,18,24,53732,3,9,0.39,0
1601,14,34,136449,3,3,0.37,1
525,19,22,15881,1,4,0.72,0
3789,10,41,150250,1,1,0.27,0
586,9,28,25479,2,3,0.54,0
847,6,33,51021,2,5,0.48,0
2102,10,34,46279,6,3,0.7,0
409,5,29,85231,1,23,0.1,0
1315,12,36,22951,3,4,0.09,1
3120,10,28,79007,3,2,0.29,0
303,17,38,201709,4,7,0.38,0
1271,9,21,26425,2,0,0.47,0
1350,17,33,67092,3,2,0.21,0
2049,17,47,40247,4,2,0.07,0
407,15,23,77306,2,2,0.87,0
381,12,26,60565,3,7,0.29,0
1664,15,36,40745,2,3,0.66,0
1390,11,33,80235,4,7,0.2,0
1339,9,34,176770,1,4,0.35,0
1446,10,35,53394,3,2,0.15,0
636,10,37,92212,5,8,0.8,0
1320,4,40,27557,2,1,0.27,0
1386,11,35,33729,4,1,0.12,0
619,15,30,79494,2,3,0.72,0
4878,11,37,145869,1,1,0.29,0
1602,19,47,74114,3,0,0.71,0
422,13,30,49620,4,5,0.58,0
1854,19,24,59848,7,3,0.48,0
502,13,40,28275,4,2,0.53,0
2058,9,31,86052,6,17,0.27,0
2770,9,18,101661,4,4,0.27,0
568,15,38,45649,1,9,0.42,1
2370,11,27,45160,1,0,0.6,0
1525,14,31,70229,7,4,0.41,0
2116,16,34,46072,4,10,0.06,0
5001,9,33,57544,3,4,0.51,1
901,13,37,211046,3,6,0.34,0
600,9,28,51626,3,2,0.41,0
538,14,36,48290,3,0,0.36,0
570,6,29,40598,1,3,0.35,0
1031,11,37,93574,1,2,0.4,0
1440,14,36,53705,3,10,0.62,0
1368,6,24,40553,0,1,0.17,0
2125,14,40,132294,3,17,0.33,0
1108,16,27,140331,3,15,0.14,0
3508,12,38,41762,0,1,0.35,0
887,16,34,19537,2,2,0.41,0
